id,team_id,service_id,score,stolen,lost
13,2,1,2254.197988858532,0,320
52,1,5,3232.9732214951605,0,196
17,6,1,10075.887108626497,557,1
32,1,3,1358.1733941907323,0,460
39,8,3,8035.890374496087,375,28
51,0,5,3232.5831712828663,0,196
60,9,5,3732.7571367987575,0,140
12,1,1,2308.112100719781,0,309
55,4,5,11739.939713754318,851,13
53,2,5,3232.558010091951,0,196
49,8,4,8306.828804416245,392,6
5,4,0,10396.525870100937,1317,73
27,6,2,6924.886531576276,256,62
43,2,4,1608.4082721040106,0,391
8,7,0,2799.2204608396282,771,893
33,2,3,1364.674892593544,0,459
47,6,4,9710.370020707147,566,8
34,3,3,1735.5027516254577,0,396
37,6,3,9951.912673357556,847,69
40,9,3,6140.9474841345445,235,155
26,5,2,4349.969754966901,0,58
38,7,3,4340.031018994745,0,62
48,7,4,3240.596832712399,107,362
44,3,4,1645.0910366083385,0,387
36,5,3,7751.437123172897,342,59
1,0,0,0,0,1372
19,8,1,8794.19403531121,434,30
59,8,5,9562.915987866661,513,17
29,8,2,6590.341335514628,158,21
2,1,0,0,0,1365
54,3,5,3256.5453222234437,0,195
3,2,0,0,0,1364
9,8,0,10330.518823081196,1246,36
21,0,2,2400.957770415968,0,289
10,9,0,10385.012949187023,1268,59
4,3,0,0,0,1364
20,9,1,6655.381546334529,277,102
56,5,5,3254.3254618002256,0,195
14,3,1,2344.2039491243536,0,308
58,7,5,3262.980375212525,0,194
15,4,1,9214.119141906915,633,78
23,2,2,2330.078543565154,0,299
41,0,4,1512.7998770131308,0,399
46,5,4,5042.3142946235575,98,77
22,1,2,2360.665026556095,0,295
42,1,4,1604.8058896238535,0,391
11,0,1,2169.7419267387627,0,331
30,9,2,6789.367722565224,218,48
35,4,3,7969.579862491876,369,19
16,5,1,3867.329915013129,1,111
25,4,2,11633.537158814934,797,0
18,7,1,2316.832287366316,0,312
28,7,2,4169.482058380815,0,73
57,6,5,5492.421599474078,116,138
7,6,0,11338.898476541464,1399,32
50,9,4,7180.011813629245,310,67
24,3,2,2450.714097644028,0,284
31,0,3,1351.850424942533,0,461
6,5,0,6639.592735377214,847,290
45,4,4,10148.773158562051,615,0
